	scenario	delta_T_C	oxidation_mult	precip_mult	extreme_event_mult	dam_risk_mult	fire_season_days	drought_mult	flood_mult	acid_load	growth_loss_frac	ca_depletion_frac	mycorrhizal_dead	timber_volume_lost_m3	pulp_grade_rejected	direct_timber_loss_usd	pulp_grade_loss_usd	total_lumber_loss_usd	lumber_jobs_lost	fish_tissue_hg_mg_kg	state_avg_rfd_ratio	ojibwe_mean_rfd_ratio	ojibwe_high_rfd_ratio	iq_loss_per_child	cumulative_impaired_children	fish_advisory_triggered	harvest_displacement_cost_usd	treaty_rights_violation	so2_tonnes_yr	pm25_tonnes_yr	pm10_tonnes_yr	hg_atmospheric_kg_yr	asthma_attacks_yr	copd_hospitalizations_yr	cardio_deaths_yr	air_quality_health_cost_usd	bwca_visibility_km	class_i_violation	soy_yield_loss_frac	annual_fire_prob_mult	expected_burn_acres_yr	tailings_overrun_acres	hg_re_released_kg_yr	firefighters_exposed	firefighter_cancer_excess	residents_evacuated	structures_lost	suppression_cost_usd	evacuation_cost_usd	structure_cost_usd	recreation_closure_cost	total_fire_cost_usd	hg_loading_increase	intake_upgrade_required	intake_upgrade_capex_usd	annual_dredge_cost_usd	canadian_refusal_prob	backhaul_loss_usd	fishing_advisory	fishing_jobs_lost	fishing_revenue_loss_usd	iron_revenue_at_risk_usd	ballast_surcharge_usd	port_jobs_lost	total_port_annual_cost_usd	sulfate_mg_l	methyl_hg_ng_l	mine_active	tailings_failed
0	proceed	0.0	1.0	1.0	1.0	1.0	128.0	1.0	1.0	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0	1872.0	0	0	15	0.7349999999999995	464	0	5241600.0	858400	0	0.0	6100000.0	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
1	proceed	0.06486486486486487	1.0048241655583745	1.002027027027027	1.018918918918919	1.0090999999999999	128.67567567567568	1.0121621621621621	1.0148648648648648	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0243243243243243	1917.5351351351353	0	0	15	0.7349999999999995	475	0	5369098.378378379	878750	0	0.0	6247848.378378379	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
2	proceed	0.12972972972972974	1.0096716036900837	1.0040540540540541	1.037837837837838	1.0182	129.35135135135135	1.0243243243243243	1.0297297297297296	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0486486486486488	1963.0702702702706	0	0	15	0.7349999999999995	486	0	5496596.756756757	899100	0	0.0	6395696.756756757	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
3	proceed	0.1945945945945946	1.014542426665874	1.0060810810810812	1.0567567567567568	1.0272999999999999	130.02702702702703	1.0364864864864864	1.0445945945945947	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0729729729729731	2008.6054054054057	0	0	30	1.469999999999999	498	0	5624095.135135136	921300	0	0.0	6545395.135135136	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
4	proceed	0.2594594594594595	1.0194367472981054	1.008108108108108	1.0756756756756758	1.0363999999999998	130.7027027027027	1.0486486486486486	1.0594594594594595	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0972972972972974	2054.1405405405408	0	0	30	1.469999999999999	509	0	5751593.513513514	941650	0	0.0	6693243.513513514	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
5	proceed	0.32432432432432434	1.0243546789433622	1.010135135135135	1.0945945945945945	1.0455	131.3783783783784	1.0608108108108107	1.0743243243243243	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	3400	190.94594594594594	657.7027027027027	85	32736.0	8.523827027027027	2.486116216216216	47982666.52540541	124.19999999999999	True	0.0004896	1.121621621621622	2099.6756756756763	41.99351351351353	0.0002699759394594596	30	1.469999999999999	520	0	5879091.891891894	962000	0	0.0	6841091.891891894	0.0	False	0	5040000.0	0	0.0	False	0	0	48360000.0	0.0	0	53400000.0	0.0	0.0	True	False
6	proceed	0.3891891891891892	1.0292963355050806	1.0121621621621621	1.1135135135135135	1.0546	132.05405405405406	1.072972972972973	1.0891891891891892	0.004336504085360068	0.00024257195921506547	0	False	3444.5218208539295	False	344314.40121255885	0.0	344314.40121255885	0	2.440497636854289	6.1012440921357225	48.132036726848476	96.60303145881561	0.8012641841320002	158	True	20880000	True	3400	193.13513513513513	665.2432432432432	85	32736.0	8.621552432432432	2.5146194594594595	48315102.29448649	124.19999999999999	True	0.0004896	1.1466130843937767	2146.4596939851504	42.92919387970301	0.0005519828410728473	30	1.469999999999999	532	0	6010087.143158421	984200	0	0.0	6994287.143158421	0.3190818640065749	False	0	19513553.351338238	0	0.0	True	420	38000000.0	48360000.0	12865380.756745104	3762	118738934.10808334	0.21682520426800336	4.786227960098625	True	False
7	proceed	0.4540540540540541	1.0342618314361853	1.0141891891891892	1.1324324324324324	1.0637000000000003	132.72972972972974	1.085135135135135	1.104054054054054	0.011318075507697947	0.0012655553409522957	0	False	17970.8858415226	False	1796369.748718599	0.0	1796369.748718599	2	2.452271001499296	6.130677503748239	48.36423364068055	97.06906047601379	0.8051296152122488	316	True	20880000	True	3400	195.3243243243243	672.7837837837837	85	32736.0	8.719277837837836	2.543122702702702	48647538.063567564	124.19999999999999	True	0.0004896	1.1738247705684264	2197.399970504094	43.947999410081884	0.0008476239377504697	30	1.469999999999999	544	0	6152719.917411463	1006400	0	0.0	7159119.917411463	0.32062116774521754	False	0	19583376.16892307	0	0.0	True	420	38000000.0	48360000.0	12927445.483487168	3762	118870821.65241024	0.5659037753848973	4.809317516178262	True	False
8	proceed	0.518918918918919	1.0392512817417412	1.0162162162162163	1.1513513513513514	1.0728	133.40540540540542	1.0972972972972972	1.118918918918919	0.019850793191140553	0.0033260547072387903	0	False	47229.97684279082	False	4721108.485205371	0.0	4721108.485205371	6	2.4641011628045293	6.160252907011323	48.597550710867104	97.53733769434596	0.8090136937719831	475	True	20880000	True	3400	197.5135135135135	680.3243243243243	85	32736.0	8.817003243243242	2.5716259459459456	48979973.83264865	124.19999999999999	True	0.0004896	1.2041304833336193	2254.1322648005353	45.0826452960107	0.0011593437651451928	30	1.469999999999999	559	0	6311570.341441499	1034150	0	0.0	7345720.341441499	0.3221678973399398	False	0	19653535.82333967	0	0.0	True	420	38000000.0	48360000.0	12989809.620746372	3762	119003345.44408605	0.9925396595570277	4.832518460099097	True	False
9	proceed	0.5837837837837838	1.044264801981616	1.0182432432432433	1.1702702702702703	1.0818999999999999	134.0810810810811	1.1094594594594596	1.1337837837837839	0.02924043423037833	0.0065219465899355455	0	False	92611.64157708475	False	9257459.692045392	0.0	9257459.692045392	13	2.4759883947664814	6.189970986916203	48.83199334122782	98.00787395950657	0.8129165097697311	633	True	20880000	True	3400	199.7027027027027	687.8648648648649	85	32736.0	8.914728648648648	2.600129189189189	49312409.60172973	124.19999999999999	True	0.0004896	1.2379982567268824	2317.5327365927237	46.350654731854476	0.0014899398155582514	30	1.469999999999999	574	0	6489091.662459627	1061900	0	0.0	7550991.662459627	0.3237220886143011	False	0	19724033.939544696	0	0.0	True	420	38000000.0	48360000.0	13052474.612928618	3762	119136508.5524733	1.4620217115189165	4.855831329214515	True	False
10	proceed	0.6486486486486487	1.0493025082731586	1.0202702702702702	1.1891891891891893	1.0910000000000002	134.75675675675674	1.1216216216216217	1.1486486486486487	0.03905752792597859	0.010865708767624271	0	False	154293.06450026465	False	15423134.727446454	0.0	15423134.727446454	22	2.4879329727034487	6.219832431758621	49.067566961651345	98.4806801695115	0.8168381535979963	791	True	20880000	True	3400	201.8918918918919	695.4054054054054	85	32736.0	9.012454054054054	2.6286324324324326	49644845.37081081	124.19999999999999	True	0.0004896	1.2756641688633974	2388.04332411228	47.7608664822456	0.001842325214410938	30	1.469999999999999	592	0	6686521.307514384	1095200	0	0.0	7781721.307514384	0.3252837775646791	False	0	19794872.150333844	0	0.0	True	420	38000000.0	48360000.0	13115441.911407866	3762	119270314.06174171	1.9528763962989293	4.879256663470188	True	False
