	scenario	delta_T_C	oxidation_mult	precip_mult	extreme_event_mult	dam_risk_mult	fire_season_days	drought_mult	flood_mult	acid_load	growth_loss_frac	ca_depletion_frac	mycorrhizal_dead	timber_volume_lost_m3	pulp_grade_rejected	direct_timber_loss_usd	pulp_grade_loss_usd	total_lumber_loss_usd	lumber_jobs_lost	fish_tissue_hg_mg_kg	state_avg_rfd_ratio	ojibwe_mean_rfd_ratio	ojibwe_high_rfd_ratio	iq_loss_per_child	cumulative_impaired_children	fish_advisory_triggered	harvest_displacement_cost_usd	treaty_rights_violation	so2_tonnes_yr	pm25_tonnes_yr	pm10_tonnes_yr	hg_atmospheric_kg_yr	asthma_attacks_yr	copd_hospitalizations_yr	cardio_deaths_yr	air_quality_health_cost_usd	bwca_visibility_km	class_i_violation	soy_yield_loss_frac	annual_fire_prob_mult	expected_burn_acres_yr	tailings_overrun_acres	hg_re_released_kg_yr	firefighters_exposed	firefighter_cancer_excess	residents_evacuated	structures_lost	suppression_cost_usd	evacuation_cost_usd	structure_cost_usd	recreation_closure_cost	total_fire_cost_usd	hg_loading_increase	intake_upgrade_required	intake_upgrade_capex_usd	annual_dredge_cost_usd	canadian_refusal_prob	backhaul_loss_usd	fishing_advisory	fishing_jobs_lost	fishing_revenue_loss_usd	iron_revenue_at_risk_usd	ballast_surcharge_usd	port_jobs_lost	total_port_annual_cost_usd	sulfate_mg_l	methyl_hg_ng_l	mine_active	tailings_failed
0	protected	0.0	1.0	1.0	1.0	1.0	128.0	1.0	1.0	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0	1872.0	0	0	15	0.7349999999999995	464	0	5241600.0	858400	0	0.0	6100000.0	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
1	protected	0.06486486486486487	1.0048241655583745	1.002027027027027	1.018918918918919	1.0090999999999999	128.67567567567568	1.0121621621621621	1.0148648648648648	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0243243243243243	1917.5351351351353	0	0	15	0.7349999999999995	475	0	5369098.378378379	878750	0	0.0	6247848.378378379	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
2	protected	0.12972972972972974	1.0096716036900837	1.0040540540540541	1.037837837837838	1.0182	129.35135135135135	1.0243243243243243	1.0297297297297296	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0486486486486488	1963.0702702702706	0	0	15	0.7349999999999995	486	0	5496596.756756757	899100	0	0.0	6395696.756756757	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
3	protected	0.1945945945945946	1.014542426665874	1.0060810810810812	1.0567567567567568	1.0272999999999999	130.02702702702703	1.0364864864864864	1.0445945945945947	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0729729729729731	2008.6054054054057	0	0	30	1.469999999999999	498	0	5624095.135135136	921300	0	0.0	6545395.135135136	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
4	protected	0.2594594594594595	1.0194367472981054	1.008108108108108	1.0756756756756758	1.0363999999999998	130.7027027027027	1.0486486486486486	1.0594594594594595	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.0972972972972974	2054.1405405405408	0	0	30	1.469999999999999	509	0	5751593.513513514	941650	0	0.0	6693243.513513514	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
5	protected	0.32432432432432434	1.0243546789433622	1.010135135135135	1.0945945945945945	1.0455	131.3783783783784	1.0608108108108107	1.0743243243243243	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.121621621621622	2099.6756756756763	0	0	30	1.469999999999999	520	0	5879091.891891894	962000	0	0.0	6841091.891891894	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
6	protected	0.3891891891891892	1.0292963355050806	1.0121621621621621	1.1135135135135135	1.0546	132.05405405405406	1.072972972972973	1.0891891891891892	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.1459459459459462	2145.2108108108114	0	0	30	1.469999999999999	532	0	6006590.270270272	984200	0	0.0	6990790.270270272	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
7	protected	0.4540540540540541	1.0342618314361853	1.0141891891891892	1.1324324324324324	1.0637000000000003	132.72972972972974	1.085135135135135	1.104054054054054	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.1702702702702705	2190.7459459459465	0	0	30	1.469999999999999	543	0	6134088.64864865	1004550	0	0.0	7138638.64864865	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
8	protected	0.518918918918919	1.0392512817417412	1.0162162162162163	1.1513513513513514	1.0728	133.40540540540542	1.0972972972972972	1.118918918918919	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.194594594594595	2236.281081081082	0	0	30	1.469999999999999	554	0	6261587.02702703	1024900	0	0.0	7286487.02702703	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
9	protected	0.5837837837837838	1.044264801981616	1.0182432432432433	1.1702702702702703	1.0818999999999999	134.0810810810811	1.1094594594594596	1.1337837837837839	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.2189189189189193	2281.816216216217	0	0	30	1.469999999999999	565	0	6389085.405405408	1045250	0	0.0	7434335.405405408	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
