year,mine_active,tailings_failed,cumulative_waste_Mt,sulfate_mg_l,hg_ng_l,methyl_hg_ng_l,canada_sulfate_mg_l,manoomin_acres_lost,lake_trout_hg_ppm,loon_mortality_frac,forest_acres_lost,amphibian_collapse,wells_contaminated,forced_migrants,treaty_harvesters_displaced,mine_jobs,tourism_jobs_lost,lumber_jobs_lost,net_jobs,lake_superior_hg_loading,reservoir_km3_lost,port_jobs_at_risk,users_losing_safe_water,total_breach_days,ijc_referral_triggered,trail_smelter_liability,liability_npv_usd
0,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
1,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
2,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
3,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
4,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
5,True,False,20.44,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,700,0,0,700,0.0,0.0,0,0,0,False,False,0.0
6,True,False,40.88,0.21065381930229665,22.46974072557831,6.965619624929276,0.13060536796742392,0,18.80717298730905,1.0,246.46496858368707,False,0,0,0,700,238,2,460,2.6963688870693967,0.026121073593484923,78,1432,0,False,False,0.0
7,True,False,61.32,0.5471571687017379,58.36343132818538,18.092663711737465,0.3392374445950775,0,48.85019202169115,1.0,640.1738873810334,False,0,0,0,700,620,5,75,7.003611759382245,0.06784748891901571,156,3720,0,False,False,0.0
8,True,False,81.76,0.9550526200877744,80.0,24.8,0.59213262445442,0,66.96,1.0,1117.411565502696,False,248,207,0,700,1082,10,-392,9.6,0.11842652489088357,234,6494,0,False,False,0.0
9,True,False,102.2,1.4000488274090606,80.0,24.8,0.8680302729936176,0,66.96,1.0,1638.0571280686008,False,364,303,0,700,1586,14,-900,9.6,0.17360605459872366,312,9520,0,False,False,0.0
10,True,False,122.64,1.8611185820119556,80.0,24.8,1.1538935208474124,0,66.96,1.0,2177.508740953988,False,484,403,0,700,2109,19,-1428,9.6,0.2307787041694825,390,12655,0,False,False,0.0
11,True,False,143.08,2.3258490498014903,80.0,24.8,1.442026410876924,0,66.96,1.0,2721.2433882677437,False,605,504,0,700,2635,24,-1959,9.6,0.2884052821753844,468,15815,0,False,False,0.0
12,True,False,163.52,2.787332437672577,80.0,24.8,1.7281461113569978,0,66.96,1.0,3261.1789520769153,False,725,604,0,700,3158,29,-2487,9.6,0.3456292222713992,546,18953,0,False,False,0.0
13,True,False,183.96,3.242105158140433,80.0,24.8,2.0101051980470688,0,66.96,1.0,3793.263035024307,False,844,703,0,700,3674,34,-3008,9.6,0.4020210396094132,624,22046,0,False,False,0.0
14,True,False,204.4,3.6887966569382216,80.0,24.8,2.2870539273016974,0,66.96,1.0,4315.892088617719,False,960,800,0,700,4180,38,-3518,9.6,0.4574107854603393,702,25083,0,False,False,0.0
15,True,False,224.84,4.1272554210069705,80.0,24.8,2.5588983610243217,0,66.96,1.0,4828.888842578156,False,1074,895,0,700,4677,43,-4020,9.6,0.5117796722048643,780,28065,0,False,False,0.0
16,True,False,245.28,4.557993356537545,80.0,24.8,2.825955881053278,0,66.96,1.0,5332.852227148927,False,1186,989,0,700,5165,47,-4512,9.6,0.5651911762106561,858,30994,0,False,False,0.0
17,True,False,265.72,4.981840599765912,80.0,24.8,3.088741171854865,0,66.96,1.0,5828.753501726117,False,1297,1081,0,700,5646,52,-4998,9.6,0.6177482343709726,936,33876,0,False,False,0.0
18,True,False,286.16,5.3997378283418564,80.0,24.8,3.347837453571951,163.4483564775591,66.96,1.0,6317.6932591599725,False,1406,1204,77,700,6119,56,-5475,9.6,0.66956749071439,1014,36718,0,False,False,0.0
19,True,False,306.6,5.8126171312986195,80.0,24.8,3.603822621405144,332.27011590876884,66.96,1.0,6800.762043619385,False,1513,1328,157,700,6587,61,-5948,9.6,0.7207645242810282,1092,39525,0,False,False,0.0
20,True,False,327.04,6.221338861982175,80.0,24.8,3.857230094428948,499.3918902327115,66.96,1.0,7278.966468519145,False,1620,1450,236,700,7050,65,-6415,9.6,0.7714460188857895,1170,42305,0,False,False,0.0
21,True,False,347.48,6.626663004993749,80.0,24.8,4.108531063096124,665.1244287085552,66.96,1.0,7753.195715842687,False,1725,1572,314,700,7510,69,-6879,9.6,0.8217062126192249,1248,45061,0,False,False,0.0
22,True,False,367.92,7.0292410795963765,80.0,24.8,4.358129469349754,829.7341303238517,66.96,1.0,8224.212063127761,False,1830,1693,392,700,7966,73,-7339,9.6,0.87162589386995,1326,47798,0,False,False,0.0
23,True,False,388.36,7.429619618697541,80.0,24.8,4.606364163592476,993.4444663118835,66.96,1.0,8692.654953876123,False,1934,1813,469,700,8420,78,-7798,9.6,0.9212728327184959,1404,50521,0,False,False,0.0
24,True,True,613.2,11.742374389799256,80.0,24.8,7.280272121675538,2756.881972717918,66.96,1.0,13738.578036065128,False,3057,3105,1303,700,13308,123,-12731,9.6,1.4560544243351081,1482,79848,0,False,False,0.0
25,False,True,613.2,11.750711914054373,80.0,24.8,7.285441386713711,2760.291093746677,66.96,1.0,13748.332939443615,False,3059,3107,1305,0,13317,123,-13440,9.6,1.4570882773427416,1560,79904,0,False,False,0.0
26,False,True,613.2,11.716340864377955,80.0,24.8,7.264131335914332,2746.2371534345416,66.96,1.0,13708.118811322207,False,3050,3097,1298,0,13278,123,-13401,9.6,1.4528262671828671,1638,79671,0,False,False,0.0
27,False,True,613.2,11.680441349593336,80.0,24.8,7.241873636747868,2731.5582407226084,66.96,1.0,13666.116379024203,False,3041,3086,1291,0,13237,122,-13359,9.6,1.4483747273495742,1716,79427,0,False,False,0.0
28,False,True,613.2,11.643464749073324,80.0,24.8,7.218948144425461,2716.4389196210923,66.96,1.0,13622.853756415789,False,3031,3075,1284,0,13195,122,-13317,9.6,1.4437896288850915,1794,79175,0,False,False,0.0
29,False,True,613.2,11.605740033790417,80.0,24.8,7.195558820950058,2701.0137027054147,66.96,1.0,13578.715839534787,False,3022,3064,1277,0,13153,121,-13274,9.6,1.4391117641900113,1872,78919,0,False,False,0.0
30,False,True,613.2,11.567506927542091,80.0,24.8,7.171854295076097,2685.380610372766,66.96,1.0,13533.983105224246,False,3012,3053,1269,0,13109,121,-13230,9.6,1.4343708590152195,1950,78659,0,False,False,0.0
