year,mine_active,tailings_failed,cumulative_waste_Mt,sulfate_mg_l,hg_ng_l,methyl_hg_ng_l,canada_sulfate_mg_l,manoomin_acres_lost,lake_trout_hg_ppm,loon_mortality_frac,forest_acres_lost,amphibian_collapse,wells_contaminated,forced_migrants,treaty_harvesters_displaced,mine_jobs,tourism_jobs_lost,lumber_jobs_lost,net_jobs,lake_superior_hg_loading,reservoir_km3_lost,port_jobs_at_risk,users_losing_safe_water,total_breach_days,ijc_referral_triggered,trail_smelter_liability,liability_npv_usd
0,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
1,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
2,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
3,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
4,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
5,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
6,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
7,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
8,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
9,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
10,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
11,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
12,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
13,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
14,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
15,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
16,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
17,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
18,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
19,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
20,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
21,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
22,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
23,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
24,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
25,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
26,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
27,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
28,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
29,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
30,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
31,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
32,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
33,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
34,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
35,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
36,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
37,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
38,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
39,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
40,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
