year,mine_active,tailings_failed,cumulative_waste_Mt,sulfate_mg_l,hg_ng_l,methyl_hg_ng_l,canada_sulfate_mg_l,manoomin_acres_lost,lake_trout_hg_ppm,loon_mortality_frac,forest_acres_lost,amphibian_collapse,wells_contaminated,forced_migrants,treaty_harvesters_displaced,mine_jobs,tourism_jobs_lost,lumber_jobs_lost,net_jobs,lake_superior_hg_loading,reservoir_km3_lost,port_jobs_at_risk,users_losing_safe_water,total_breach_days,ijc_referral_triggered,trail_smelter_liability,liability_npv_usd
0,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
1,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
2,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
3,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
4,False,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0.0,0.0,0,0,0,False,False,0.0
5,True,False,20.44,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0,0,0,700,0,0,700,0.0,0.0,0,0,0,False,False,0.0
6,True,False,40.88,0.21065381930229665,22.46974072557831,6.965619624929276,0.13060536796742392,0,18.80717298730905,1.0,246.46496858368707,False,0,0,0,700,238,2,460,2.6963688870693967,0.026121073593484923,78,1432,0,False,False,0.0
7,True,False,61.32,0.5471571687017379,58.36343132818538,18.092663711737465,0.3392374445950775,0,48.85019202169115,1.0,640.1738873810334,False,0,0,0,700,620,5,75,7.003611759382245,0.06784748891901571,156,3720,0,False,False,0.0
8,True,False,81.76,0.9550526200877744,80.0,24.8,0.59213262445442,0,66.96,1.0,1117.411565502696,False,248,207,0,700,1082,10,-392,9.6,0.11842652489088357,234,6494,0,False,False,0.0
9,True,False,102.2,1.4000488274090606,80.0,24.8,0.8680302729936176,0,66.96,1.0,1638.0571280686008,False,364,303,0,700,1586,14,-900,9.6,0.17360605459872366,312,9520,0,False,False,0.0
10,True,False,122.64,1.8611185820119556,80.0,24.8,1.1538935208474124,0,66.96,1.0,2177.508740953988,False,484,403,0,700,2109,19,-1428,9.6,0.2307787041694825,390,12655,0,False,False,0.0
11,True,False,143.08,2.3258490498014903,80.0,24.8,1.442026410876924,0,66.96,1.0,2721.2433882677437,False,605,504,0,700,2635,24,-1959,9.6,0.2884052821753844,468,15815,0,False,False,0.0
12,True,True,367.92,6.271497984763299,80.0,24.8,3.888328750553245,519.9013982143265,66.96,1.0,7337.652642173059,False,1633,1466,245,700,7107,65,-6472,9.6,0.7776657501106489,546,42646,0,False,False,0.0
13,True,True,592.76,10.446783287341397,80.0,24.8,6.477005638151666,2227.1291663795937,66.96,1.0,12222.736446189434,False,2720,2717,1053,700,11839,109,-11248,9.6,1.2954011276303334,624,71038,0,False,False,0.0
14,True,True,817.6,14.755186627752886,80.0,24.8,9.14821570920679,3988.7874211256244,66.96,1.0,17263.568354470877,False,3842,4008,1886,700,16722,154,-16176,9.6,1.8296431418413572,702,100335,0,False,False,0.0
15,True,True,1042.44,19.13545695194141,80.0,24.8,11.863983310203675,5779.8312870160435,66.96,1.0,22388.484633771448,False,4982,5320,2732,700,17000,200,-16500,9.6,2.372796662040735,780,130121,365,True,False,0.0
16,True,True,1267.28,23.54963234211065,80.0,24.8,14.600772052108605,7584.738557663022,66.96,1.0,27553.06984026946,False,6132,6643,3586,700,17000,247,-16547,9.6,2.9201544104217207,858,160137,730,True,False,2800000000.0
17,True,True,1492.12,27.97495106022397,80.0,24.8,17.34446965733886,9394.202211291578,66.96,1.0,32730.692740462044,False,7284,7969,4441,700,17000,293,-16593,9.6,3.4688939314677714,936,190229,1095,True,True,5600000000.0
18,True,True,1716.96,32.39842697005114,80.0,24.8,20.087024721431707,11202.912361087576,66.96,1.0,37906.159554959835,True,8436,8060,5297,700,17000,340,-16640,9.6,4.0174049442863415,1014,220309,1460,True,True,8400000000.0
19,True,True,1941.8,36.81324183155792,80.0,24.8,22.824209935565907,13008.081104459237,66.96,1.0,43071.49294292276,True,9586,8060,6150,700,17000,386,-16686,9.6,4.564841987113182,1092,250330,1825,True,True,11200000000.0
20,True,True,2166.64,41.21636996063191,80.0,24.8,25.554149375591784,14808.471272791714,66.96,1.0,48223.15285393933,True,10416,8060,7001,700,17000,432,-16732,9.6,5.110829875118358,1170,280271,2190,True,True,14000000000.0
21,True,True,2391.48,45.607033622604035,80.0,24.8,28.2763608460145,16603.764859020317,66.96,1.0,53360.22933844673,True,10416,8060,7850,700,17000,478,-16778,9.6,5.6552721692029,1248,310127,2555,True,True,16800000000.0
22,True,True,2616.32,49.98571434379646,80.0,24.8,30.991142893153803,18394.158753907886,66.96,1.0,58483.28578224186,True,10416,8060,8697,700,17000,524,-16824,9.6,6.198228578630761,1326,339902,2920,True,True,19600000000.0
23,True,True,2841.16,54.35353299994517,80.0,24.8,33.699190459966005,18400.0,66.96,1.0,63593.63360993585,True,10416,8060,8700,700,17000,570,-16870,9.6,6.739838091993202,1404,369604,3285,True,True,22400000000.0
24,True,True,3066.0,58.711871948996276,80.0,24.8,36.40136060837769,18400.0,66.96,1.0,68692.89018032564,True,10416,8060,8700,700,17000,616,-16916,9.6,7.280272121675538,1482,399240,3650,True,True,25200000000.0
25,False,True,3066.0,58.753559570271854,80.0,24.8,36.42720693356855,18400.0,66.96,1.0,68741.66469721806,True,10416,8060,8700,0,17000,616,-17616,9.6,7.2854413867137096,1560,399524,4015,True,True,28000000000.0
26,False,True,3066.0,58.581704321889774,80.0,24.8,36.32065667957166,18400.0,66.96,1.0,68540.59405661104,True,10416,8060,8700,0,17000,615,-17615,9.6,7.264131335914332,1638,398355,4380,True,True,30800000000.0
27,False,True,3066.0,58.40220674796669,80.0,24.8,36.20936818373934,18400.0,66.96,1.0,68330.58189512102,True,10416,8060,8700,0,17000,613,-17613,9.6,7.2418736367478695,1716,397135,4745,True,True,33600000000.0
28,False,True,3066.0,58.21732374536663,80.0,24.8,36.094740722127305,18400.0,66.96,1.0,68114.26878207894,True,10416,8060,8700,0,17000,611,-17611,9.6,7.218948144425461,1794,395877,5110,True,True,36400000000.0
29,False,True,3066.0,58.028700168952085,80.0,24.8,35.977794104750295,18400.0,66.96,1.0,67893.57919767394,True,10416,8060,8700,0,17000,609,-17609,9.6,7.195558820950059,1872,394595,5475,True,True,39200000000.0
